Strategy,Step,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(CLU-BASE)_t+4,4,Seq2Seq LSTM + Clusters,down,6238413402288657.0,78983627.43182069,46516400.47201334,0.3670146557943472,0.0948967405021667,42.097076547045106,34.281672624922635
B(CLU-BASE)_t+4,4,Seq2Seq LSTM + Clusters,up,229002920011483.8,15132842.430009102,6994492.016413921,0.3706260736088006,0.12305487220668537,11156201959629.672,103.83477263498202
B(CLU-BASE)_t+5,5,Seq2Seq LSTM + Clusters,rnti_count,2986082.1939284867,1728.0284123614654,1306.5944972312943,0.47596622850841397,0.12653986616580257,30.25739109783429,25.8934403384739
B(CLU-BASE)_t+5,5,Seq2Seq LSTM + Clusters,rb_down,0.0011877422170535645,0.034463636155425685,0.017536306267063397,0.36378915024394176,0.10976540774183832,61.4828451120262,43.83948352895845
B(CLU-BASE)_t+5,5,Seq2Seq LSTM + Clusters,rb_up,0.0001345399740752919,0.011599136781471796,0.005559423707195086,0.38206095160757336,0.13867759930419823,1867.9720027122262,128.49098277050174
B(CLU-BASE)_t+5,5,Seq2Seq LSTM + Clusters,down,6617466860012898.0,81347814.107159,47869053.75632525,0.32860322360470184,0.09773724829755663,43.71142423494545,35.175560374179
B(CLU-BASE)_t+5,5,Seq2Seq LSTM + Clusters,up,245331712168894.56,15663068.414869884,7388527.163201267,0.32488489532750064,0.12736648062456724,11395532159766.246,107.98303635668915
B(CLU-BASE)_t+6,6,Seq2Seq LSTM + Clusters,rnti_count,3036340.7132379203,1742.5098889928631,1314.9609260820507,0.46718524566170117,0.12760031407378347,30.808867238192704,26.156750397985423
B(CLU-BASE)_t+6,6,Seq2Seq LSTM + Clusters,rb_down,0.0012444224678388985,0.03527637265704764,0.018214954589887075,0.3333784978696941,0.11235394346931885,65.72918290254125,46.07240371588136
B(CLU-BASE)_t+6,6,Seq2Seq LSTM + Clusters,rb_up,0.00014346829224276875,0.011977825021378828,0.005889716589164738,0.34094040396863956,0.1432051410501432,2142.8173304887655,133.15854957608335
B(CLU-BASE)_t+6,6,Seq2Seq LSTM + Clusters,down,6901576956630568.0,83075730.25035994,49102507.77373588,0.29978984804007447,0.09981329386779063,45.2250356476786,36.10219667992378
B(CLU-BASE)_t+6,6,Seq2Seq LSTM + Clusters,up,260316796908524.9,16134335.961189259,7787989.782971167,0.283604379536039,0.1311986600684296,13313870856921.102,113.15415220884069
B(CLU-BASE)_t+1,1,Transformer + Clusters,rnti_count,2308011.351379054,1519.2140571292296,1119.0813346081343,0.5945251501798512,0.11124883253720833,23.20687746596338,22.62013102423705
B(CLU-BASE)_t+1,1,Transformer + Clusters,rb_down,0.000805280024831415,0.02837745627838082,0.013374842693860526,0.5690322517217936,0.09038114971458927,42.70628494339855,40.67545886626264
